True,Pred,Stdv,Spcs
0.1959520324676843,0.21252568,0.10877917,BV
0.028668203104214,0.0015014689,0.082278326,CA
0.0,0.0,0.08152789,BT
0.0,0.0,0.09247247,BU
0.0148598681255077,0.048670437,0.07476342,CS
0.0,0.0,0.17941165,CD
0.0635530322531191,0.1264953,0.04975196,DP
0.2593077081644385,0.29265746,0.059015844,CH
0.4427778560193871,0.49929285,0.105623506,BV
0.2201724873015989,0.09128948,0.09667283,CA
0.0,0.0,0.08152789,BT
0.0,0.0,0.09247247,BU
0.0583737689357708,0.048207924,0.08155375,CS
0.0,0.0,0.17941165,CD
0.3480392343710503,0.09824824,0.058739323,DP
0.1504145370582466,0.3031398,0.0752183,CH
0.0,0.0,0.09618941,BV
0.0,0.0,0.082264334,CA
0.848294381748102,0.74712783,0.09245143,BT
0.177403281079112,0.1389946,0.09737356,BU
0.0913627923312894,0.095897645,0.073985316,CS
0.0,0.0,0.17941165,CD
0.1386062205081632,0.18221803,0.046834152,DP
0.0,0.0,0.053317763,CH
0.0,0.0,0.09618941,BV
0.0,0.0,0.082264334,CA
0.7948555118720889,0.70043427,0.09558942,BT
0.1238807261973519,0.11093292,0.097226344,BU
0.1488607197897583,0.11468063,0.07449809,CS
0.0,0.0,0.17941165,CD
0.1137632532363949,0.19197543,0.04711511,DP
0.0,0.0,0.053317763,CH
0.1124731069044058,0.0396692,0.09791416,BV
0.0557293681493428,1.0797209e-08,0.082264334,CA
0.7159190762522883,0.70593643,0.094076864,BT
0.1075717127110224,0.10724114,0.096723445,BU
0.1482383235171806,0.105258875,0.0734071,CS
0.0,0.0,0.17941165,CD
0.1458598277192946,0.18573385,0.046772957,DP
0.0,0.0,0.053317763,CH
0.0851816739842045,0.045435686,0.09802716,BV
0.0,0.0,0.082264334,CA
0.8036873972291525,0.5029454,0.13386595,BT
0.0,0.0,0.09247247,BU
0.1138050269426665,0.21756433,0.091921516,CS
0.0,0.0,0.17941165,CD
0.2033901044914372,0.2478609,0.055380635,DP
0.0,0.0,0.053317763,CH
0.1558674278367436,0.13707462,0.11188658,BV
0.0387456225166172,0.006083569,0.08218889,CA
0.8946848473547625,0.89020413,0.11650107,BT
0.0,0.0,0.09078875,BU
0.1595595897915984,0.13247117,0.072696686,CS
0.0,0.0,0.18080263,CD
0.1839983828477057,0.12634814,0.0493459,DP
0.0,0.0,0.056454804,CH
0.1880115338226494,0.18104546,0.10506015,BV
0.0611577432172595,2.2498384e-20,0.08208632,CA
0.0,0.0,0.09740901,BT
0.2955696466089201,0.11866197,0.19096112,BU
