Experiments,Time,OD,s1,s2,s3,s4,s5
Exp_6,20.0,0.9331671555376777,0.0,0.139080354525724,0.0,0.5619726828518619,0.23211411816009192
Exp_6,40.0,1.36540326680547,0.0,0.11345719034774009,0.0,1.0025153435155019,0.2494307329422281
Exp_6,60.0,1.5777685378900212,0.0,0.09433227183256955,0.0,1.245473613163898,0.23796265289355378
Exp_6,80.0,1.6636063324087387,0.0,0.07555763106928431,0.0,1.3692774570129564,0.2187712443264979
Exp_6,100.0,1.66896932845235,0.0,0.061980823272602785,0.0,1.4103530474992505,0.19663545768049673
Exp_6,120.0,1.6163879378387374,0.0,0.05129068448995418,0.0,1.3924484765387406,0.17264877681004268
Exp_6,140.0,1.5314843113342886,0.0,0.04363972243333602,0.0,1.3352556124307655,0.15258897647018713
Exp_6,160.0,1.4185394351055725,0.0,0.03409424091573277,0.0,1.2536936772153675,0.13075151697447215
Exp_7,0.0,0.2,0.0,0.1,0.1,0.0,0.0
Exp_7,20.0,0.6556993778474945,0.0,0.16972932314760564,0.4859700546998889,0.0,0.0
Exp_7,40.0,1.3184949162111803,0.0,0.14040725594703288,1.1780876602641475,0.0,0.0
Exp_7,60.0,1.64395040165963,0.0,0.11382363820277429,1.5301267634568558,0.0,0.0
Exp_7,80.0,1.8003378213114902,0.0,0.0943958373036713,1.705941984007819,0.0,0.0
Exp_7,100.0,1.8409786386329654,0.0,0.07704907732171158,1.7639295613112538,0.0,0.0
Exp_7,120.0,1.8102815344548737,0.0,0.06277237328278339,1.7475091611720903,0.0,0.0
Exp_7,140.0,1.733624315054099,0.0,0.052931076512182554,1.6806932385419164,0.0,0.0
Exp_7,160.0,1.6213882215459092,0.0,0.04164746740457468,1.5797407541413346,0.0,0.0
Exp_8,0.0,0.3,0.0,0.10000000000000002,0.09999999999999999,0.0,0.09999999999999999
Exp_8,20.0,0.7888359928121947,0.0,0.14831321146075538,0.370035696309689,0.0,0.27048708504175034
Exp_8,40.0,1.259327773960574,0.0,0.11728433316826264,0.8059967934418075,0.0,0.33604664735050377
Exp_8,60.0,1.515366158279873,0.0,0.09504062067279491,1.0754585186511632,0.0,0.344867018955915
Exp_8,80.0,1.6320087197471695,0.0,0.08007627720767609,1.217215877675515,0.0,0.33471656486397827
Exp_8,100.0,1.6528540440333597,0.0,0.06697696730902195,1.2750120048033469,0.0,0.3108650719209908
Exp_8,120.0,1.6117945676054317,0.0,0.05293717143961578,1.2726865500897748,0.0,0.28617084607604115
Exp_8,140.0,1.5301979771357361,0.0,0.043887097044380666,1.2329499136400568,0.0,0.2533609664512985
Exp_8,160.0,1.4288037877347675,0.0,0.036964416912971934,1.1656616965519062,0.0,0.2261776742698893
Exp_9,0.0,0.30000000000000004,0.0,0.1,0.1,0.1,0.0
Exp_9,20.0,0.9818308578770152,0.0,0.1489010576455853,0.2841112234270222,0.5488185768044077,0.0
Exp_9,40.0,1.4252091142524945,0.0,0.12026053723309345,0.36986588914611573,0.9350826878732853,0.0
Exp_9,60.0,1.655025837579541,0.0,0.10001187690558226,0.3969440533623478,1.158069907311611,0.0
Exp_9,80.0,1.7543279348836134,0.0,0.08153764385141368,0.39580661327272854,1.2769836777594712,0.0
Exp_9,100.0,1.7561755198866875,0.0,0.06544639514522486,0.37657773076282414,1.3141513939786384,0.0
Exp_9,120.0,1.7048529407099964,0.0,0.05590813723254766,0.34661025148637997,1.3023345519910687,0.0
Exp_9,140.0,1.6138051927418546,0.0,0.04480318250333397,0.3157317359771401,1.2532702742613806,0.0
Exp_9,160.0,1.4980836878187722,0.0,0.03585638530621039,0.28238417795288834,1.1798431245596734,0.0
Exp_10,0.0,0.4,0.0,0.1,0.1,0.1,0.1
Exp_10,20.0,1.0386744457482964,0.0,0.13490274831815482,0.24760548304850882,0.45000195651030944,0.2061642578713231
Exp_10,40.0,1.4098454065574506,0.0,0.11017862551838371,0.32134912254640957,0.7568194270438523,0.22149823144880507
Exp_10,60.0,1.5932305383075374,0.0,0.08990337642381553,0.3484654322755528,0.9424513019531007,0.21241042765506846
Exp_10,80.0,1.6669506393192683,0.0,0.07483298490922523,0.34735453188522547,1.0482876686484743,0.19647545387634333
Exp_10,100.0,1.6539665816860385,0.0,0.06129368468456659,0.3321879870719635,1.0835317775048854,0.1769531324246229
Exp_10,120.0,1.5935917105316288,0.0,0.04973573890686835,0.30903480317927806,1.0777791251989943,0.15704204324648813
Exp_10,140.0,1.504476615970839,0.0,0.04012394977372844,0.2808740027491618,1.0450779456569899,0.13840071779095867
Exp_10,160.0,1.392424651304578,0.0,0.03254431283659529,0.2531750170867012,0.9864797364001928,0.12022558498108839
Exp_11,0.0,0.2,0.1,0.0,0.0,0.0,0.1
Exp_11,20.0,0.6210141961271743,0.23353685420404385,0.0,0.0,0.0,0.3874773419231305
Exp_11,40.0,0.8713253737825883,0.20391531484199027,0.0,0.0,0.0,0.667410058940598
Exp_11,60.0,0.9977010393667122,0.16873423808578294,0.0,0.0,0.0,0.8289668012809293
Exp_11,80.0,1.0451582882030213,0.13468316829050428,0.0,0.0,0.0,0.9104751199125171
Exp_11,100.0,1.0478170515069196,0.11237229367785283,0.0,0.0,0.0,0.9354447578290668
Exp_11,120.0,1.014122169427167,0.09273654728809815,0.0,0.0,0.0,0.9213856221390688
Exp_11,140.0,0.9583624993666577,0.07704644343221291,0.0,0.0,0.0,0.8813160559344448
Exp_11,160.0,0.8865844357523025,0.06057116663208186,0.0,0.0,0.0,0.8260132691202207
Exp_12,0.0,0.2,0.1,0.0,0.0,0.09999999999999999,0.0
Exp_12,20.0,0.7079150580930507,0.23803557335853492,0.0,0.0,0.4698794847345158,0.0
Exp_12,40.0,0.9564518742124488,0.20780061534168984,0.0,0.0,0.748651258870759,0.0
Exp_12,60.0,1.070992896211877,0.17298876628011378,0.0,0.0,0.8980041299317633,0.0
Exp_12,80.0,1.1103530137992155,0.14276545138507235,0.0,0.0,0.967587562414143,0.0
Exp_12,100.0,1.0997524655436879,0.11661630536929003,0.0,0.0,0.9831361601743979,0.0
Exp_12,120.0,1.057096743212696,0.09401539485359217,0.0,0.0,0.963081348359104,0.0
Exp_12,140.0,0.9923504697035506,0.07520996609212628,0.0,0.0,0.9171405036114243,0.0
Exp_12,160.0,0.9149215438629532,0.06187356314277264,0.0,0.0,0.8530479807201806,0.0
Exp_13,0.0,0.3,0.1,0.0,0.0,0.1,0.09999999999999999
Exp_13,20.0,0.8339827577158878,0.21695280054933586,0.0,0.0,0.34448805068228955,0.2725419064842625
Exp_13,40.0,1.0240552642404102,0.19112144781083945,0.0,0.0,0.4528520494199053,0.38008176700966534
Exp_13,60.0,1.1059903452280173,0.15827431476032505,0.0,0.0,0.4954505129457491,0.4522655175219432
Exp_13,80.0,1.1216015435779192,0.1285389762716752,0.0,0.0,0.5018969136986594,0.4911656536075847
Exp_13,100.0,1.0990266274919118,0.10663267473747806,0.0,0.0,0.49029721297465534,0.5020967397797784
Exp_13,120.0,1.0452066269382285,0.08746126882421569,0.0,0.0,0.46316932052251647,0.49457603759149643
Exp_13,140.0,0.9731169749415722,0.07011434768965762,0.0,0.0,0.4283518855680086,0.47465074168390603
Exp_13,160.0,0.8971911099521014,0.05879010288574251,0.0,0.0,0.39182374779157864,0.44657725927478026
Exp_14,0.0,0.2,0.1,0.0,0.1,0.0,0.0
Exp_14,20.0,0.5849183898704498,0.2524167732252327,0.0,0.3325016166452171,0.0,0.0
Exp_14,40.0,0.864344102799733,0.22142130220988568,0.0,0.6429228005898473,0.0,0.0
Exp_14,60.0,1.0181342323721152,0.18232243124010505,0.0,0.8358118011320103,0.0,0.0
Exp_14,80.0,1.0779237129097128,0.1486164860249225,0.0,0.9293072268847903,0.0,0.0
Exp_14,100.0,1.0860974203331843,0.12373524946256342,0.0,0.9623621708706209,0.0,0.0
Exp_14,120.0,1.05098071103856,0.10084179096712752,0.0,0.9501389200714326,0.0,0.0
Exp_14,140.0,0.9964446181146844,0.08265363474980826,0.0,0.9137909833648762,0.0,0.0
Exp_14,160.0,0.92173249096291,0.06553354377975514,0.0,0.8561989471831548,0.0,0.0
Exp_15,0.0,0.30000000000000004,0.1,0.0,0.1,0.0,0.1
Exp_15,20.0,0.7833222888558119,0.22304065810142268,0.0,0.243309537935826,0.0,0.3169720928185632
Exp_15,40.0,1.0111695289164975,0.19553721677582042,0.0,0.3168954678845745,0.0,0.49873684425610254
Exp_15,60.0,1.1076063388126844,0.16156739172193296,0.0,0.3276901839737333,0.0,0.6183487631170181
Exp_15,80.0,1.13129970863316,0.13223745532972728,0.0,0.31319848133813827,0.0,0.6858637719652944
Exp_15,100.0,1.1099641537887497,0.10756621491841545,0.0,0.289658753341358,0.0,0.7127391855289763
Exp_15,120.0,1.0561134336205926,0.089038576016385,0.0,0.2618683422577234,0.0,0.7052065153464842
Exp_15,140.0,0.9871670162000102,0.07245685958857266,0.0,0.23270530657173477,0.0,0.6820048500397028
