Treatments,Time,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
exp_13,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05286387232415558,0.008289052990919421,0.0,0.2589517232954034
exp_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0
exp_14,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0734000520411803,0.022568317148501316,0.09527950539296803,0.0
exp_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1
exp_15,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02713606936936651,0.0,0.052117011515753216,0.25536328860172075
mono_exp_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
mono_exp_16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24861075680891168,0.0,0.0,0.0,0.0
exp_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
exp_17,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20506521535710154,0.0,0.0,0.0,0.17893334294126528
exp_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0
exp_18,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2236970577798938,0.0,0.0,0.05950560742557564,0.0
exp_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1
exp_19,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21981135346552289,0.0,0.0,0.05814158325910184,0.18334833452393925
exp_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0
exp_20,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20551992424716742,0.0,0.10323150233372508,0.0,0.0
exp_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1
exp_21,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20168425999774572,0.0,0.042151586767751346,0.0,0.1982793518954624
exp_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0
exp_22,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22625296145066545,0.0,0.06370899465764658,0.05372779725122595,0.0
exp_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1
exp_23,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19431990223034684,0.0,0.04491069435324724,0.040399409539589995,0.22100901304742188
exp_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
exp_24,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24805942544783505,0.02279086558278957,0.0,0.0,0.0
exp_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1
exp_25,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22016287334053433,0.014881914093557214,0.0,0.0,0.18112772388451268
exp_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0
exp_26,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23575530024297436,0.0,0.0,0.07364494457675966,0.0
exp_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1
exp_27,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2101729201957066,0.015158159313443442,0.0,0.015048601718021425,0.1851457824793964
exp_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0
exp_28,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20747056886720483,0.021111446862797763,0.07133432209556584,0.0,0.0
exp_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1
exp_29,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1843147678090218,0.01540420509712552,0.045966934825861165,0.0,0.19529926252823915
exp_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0
exp_30,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20168590492116117,0.013888695946395047,0.05089474795573184,0.033890675925843904,0.0
exp_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
exp_31,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21006658988576077,0.00022544664598368215,0.02683813550982494,0.024104687494809374,0.195617132044935
mono_exp_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
mono_exp_32,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19652974794047848,0.0,0.0,0.0,0.0,0.0
