Treatments,Time,s1,s2,s3,s4,s5,s6
exp_30,10.666666666666666,-5.850986679583335e-06,4.8680454871464166e-05,2.771193661410435e-05,2.032957001436871e-05,-2.2571932174317718e-05,-7.724782880620655e-05
exp_30,16.0,-5.580865125477345e-07,3.104158030167922e-06,1.2027466332641458e-06,9.27611610633253e-07,-1.404654772353516e-06,-2.8046373820211175e-06
exp_31,0.0,0.1,0.0,0.0,0.0,0.0,0.1
exp_31,5.333333333333333,0.0004097831652822411,-0.00037966107806554225,1.1402027077956856e-05,0.00023321087052478496,0.0002580812073952624,-0.000291725751937111
exp_31,10.666666666666666,7.837228769410589e-06,-2.9869163439240696e-06,3.14228096641877e-06,7.330053227184235e-06,4.593352109438107e-06,-1.9186624638666155e-05
exp_31,16.0,2.908270471857908e-07,4.708238974186068e-07,1.3867567753637084e-07,4.6736648812542737e-07,6.52551419096047e-08,-7.157542201695806e-07
mono_exp_32,0.0,0.1,0.0,0.0,0.0,0.0,0.0
mono_exp_32,5.333333333333333,0.00036300483861858207,0.0012687561002519873,0.0009666853458672473,0.0010763976566998926,-0.00040772815903026205,-0.003293340627444026
mono_exp_32,10.666666666666666,-1.9185756461650827e-05,0.00010842724195978956,5.477354305799534e-05,3.4934747022058186e-05,-5.3309514022081336e-05,-0.00014158014305252172
mono_exp_32,16.0,-1.6566168228322437e-06,5.608289158016848e-06,2.2759616518564856e-06,1.2214246611087091e-06,-3.2432429675710495e-06,-5.333148406624053e-06
exp_33,0.0,0.0,0.1,0.1,0.1,0.1,0.1
exp_33,5.333333333333333,-0.0015809056775063649,0.0009675966524872166,-0.0001697841920428828,-0.0010090572292073823,-0.0011756709473085547,0.002443658437474866
exp_33,10.666666666666666,-2.598753721371219e-05,-2.457283236821193e-05,-2.764130467470289e-05,-3.8472263464066576e-05,-1.5835117945982697e-06,0.00012055915522300204
exp_33,16.0,5.91828559858595e-07,-2.8612730541880116e-06,-1.9137299930787464e-06,-1.0560736992111216e-06,1.725842093088508e-06,5.537462829805706e-06
exp_34,0.0,0.0,0.1,0.1,0.1,0.1,0.0
exp_34,5.333333333333333,-0.0015873413199347472,0.0024845547739061466,0.0008192551651438665,-0.0002196684736635901,-0.0016973690416335573,-0.000553612102077967
exp_34,10.666666666666666,-5.3576092950180495e-05,8.195073897342854e-05,2.0158342187725626e-05,-1.0891072310541404e-05,-5.855599231228185e-05,7.15866677884838e-08
exp_34,16.0,-1.4919933444377965e-06,2.2727526388452605e-06,4.185875489508058e-07,-3.9458605747545953e-07,-1.5924256680772076e-06,7.425768319860461e-07
exp_35,0.0,0.0,0.1,0.1,0.1,0.0,0.1
exp_35,5.333333333333333,-0.0015279505266423223,0.0017039915970350399,0.0004419683003828668,-0.0004882923379278276,-0.0017479294851252564,0.0010899176115672187
exp_35,10.666666666666666,-3.9678343210879315e-05,2.708460803334789e-05,-1.817361914861144e-06,-2.498682883483606e-05,-3.176052166407986e-05,5.6921839897336134e-05
exp_35,16.0,-5.089542147085855e-07,-2.57261084489789e-07,-7.202958622450736e-07,-6.966815123009855e-07,6.816400882485341e-09,3.0831774915651367e-06
exp_36,0.0,0.0,0.1,0.1,0.1,0.0,0.0
