Treatments,Time,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
mono_exp_3,4.266666666666667,0.0,0.0,0.24062469442026677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_3,5.333333333333333,0.0,0.0,0.2422174782260443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_3,6.4,0.0,0.0,0.288536161754311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_3,7.466666666666667,0.0,0.0,0.30661819690475395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_3,8.533333333333333,0.0,0.0,0.2914875011617859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_3,9.6,0.0,0.0,0.2993150226036222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_3,10.666666666666666,0.0,0.0,0.28959056480690504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_3,11.733333333333333,0.0,0.0,0.30025380238140603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_3,12.8,0.0,0.0,0.3095458659322134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_3,13.866666666666667,0.0,0.0,0.29469103262978513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_3,14.933333333333334,0.0,0.0,0.30239225194169167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_3,16.0,0.0,0.0,0.3059720878453494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_4,1.0666666666666667,0.0,0.0,0.0,0.15863777921053873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_4,2.1333333333333333,0.0,0.0,0.0,0.1950324533149239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_4,3.2,0.0,0.0,0.0,0.23298708827697887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_4,4.266666666666667,0.0,0.0,0.0,0.2880407265994155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_4,5.333333333333333,0.0,0.0,0.0,0.30673677405145167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_4,6.4,0.0,0.0,0.0,0.2970220508242005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_4,7.466666666666667,0.0,0.0,0.0,0.31966040154376385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_4,8.533333333333333,0.0,0.0,0.0,0.33016552941562155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_4,9.6,0.0,0.0,0.0,0.3130266035564229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_4,10.666666666666666,0.0,0.0,0.0,0.3172934639717737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_4,11.733333333333333,0.0,0.0,0.0,0.31829538025777127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_4,12.8,0.0,0.0,0.0,0.3342235691636385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_4,13.866666666666667,0.0,0.0,0.0,0.33188963644144387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_4,14.933333333333334,0.0,0.0,0.0,0.31219093931110625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_4,16.0,0.0,0.0,0.0,0.32170430527556004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_5,1.0666666666666667,0.0,0.0,0.0,0.0,0.11178416740566859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_5,2.1333333333333333,0.0,0.0,0.0,0.0,0.13885764914850274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_5,3.2,0.0,0.0,0.0,0.0,0.1428697205228712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_5,4.266666666666667,0.0,0.0,0.0,0.0,0.1520494390625873,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_5,5.333333333333333,0.0,0.0,0.0,0.0,0.15277911728954502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_5,6.4,0.0,0.0,0.0,0.0,0.14264666963551356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_5,7.466666666666667,0.0,0.0,0.0,0.0,0.18474973496556166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_5,8.533333333333333,0.0,0.0,0.0,0.0,0.1878519007185475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_5,9.6,0.0,0.0,0.0,0.0,0.18830528947803085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_5,10.666666666666666,0.0,0.0,0.0,0.0,0.17188494784844954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_5,11.733333333333333,0.0,0.0,0.0,0.0,0.18391318635672912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_5,12.8,0.0,0.0,0.0,0.0,0.18570910142808317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_5,13.866666666666667,0.0,0.0,0.0,0.0,0.19472323212674084,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_5,14.933333333333334,0.0,0.0,0.0,0.0,0.20093087751208774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_5,16.0,0.0,0.0,0.0,0.0,0.18950910117069303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_6,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.12768453039708708,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_6,2.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.17395524033700943,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_6,3.2,0.0,0.0,0.0,0.0,0.0,0.20449760201976924,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_6,4.266666666666667,0.0,0.0,0.0,0.0,0.0,0.2486397755367219,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_6,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.2666287211341904,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_6,6.4,0.0,0.0,0.0,0.0,0.0,0.29440649540976116,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_6,7.466666666666667,0.0,0.0,0.0,0.0,0.0,0.3224440279113919,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_6,8.533333333333333,0.0,0.0,0.0,0.0,0.0,0.33215372390467557,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_6,9.6,0.0,0.0,0.0,0.0,0.0,0.3353158643677426,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_6,10.666666666666666,0.0,0.0,0.0,0.0,0.0,0.3440752010028593,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_6,11.733333333333333,0.0,0.0,0.0,0.0,0.0,0.3335861659105456,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_6,12.8,0.0,0.0,0.0,0.0,0.0,0.3435612423266815,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_6,13.866666666666667,0.0,0.0,0.0,0.0,0.0,0.33620471359136406,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_6,14.933333333333334,0.0,0.0,0.0,0.0,0.0,0.34854739112612587,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_6,16.0,0.0,0.0,0.0,0.0,0.0,0.34072389171295653,0.0,0.0,0.0,0.0,0.0,0.0
mono_exp_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
mono_exp_7,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.12130615520287108,0.0,0.0,0.0,0.0,0.0
mono_exp_7,2.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.1356487132701553,0.0,0.0,0.0,0.0,0.0
mono_exp_7,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.15277771152515277,0.0,0.0,0.0,0.0,0.0
mono_exp_7,4.266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.16251875188210838,0.0,0.0,0.0,0.0,0.0
mono_exp_7,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.17717850835273571,0.0,0.0,0.0,0.0,0.0
mono_exp_7,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1730910936978365,0.0,0.0,0.0,0.0,0.0
mono_exp_7,7.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.20253938550270878,0.0,0.0,0.0,0.0,0.0
mono_exp_7,8.533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.20539419340003237,0.0,0.0,0.0,0.0,0.0
mono_exp_7,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.19979490521733514,0.0,0.0,0.0,0.0,0.0
mono_exp_7,10.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.18857909782166413,0.0,0.0,0.0,0.0,0.0
mono_exp_7,11.733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.18075974945607745,0.0,0.0,0.0,0.0,0.0
mono_exp_7,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1965251919499984,0.0,0.0,0.0,0.0,0.0
mono_exp_7,13.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.189929063610785,0.0,0.0,0.0,0.0,0.0
mono_exp_7,14.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.19620921345288664,0.0,0.0,0.0,0.0,0.0
mono_exp_7,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19711204687923584,0.0,0.0,0.0,0.0,0.0
mono_exp_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
mono_exp_8,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10851195571589466,0.0,0.0,0.0,0.0
mono_exp_8,2.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17449503142668882,0.0,0.0,0.0,0.0
mono_exp_8,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19533990906305232,0.0,0.0,0.0,0.0
mono_exp_8,4.266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1959824123146195,0.0,0.0,0.0,0.0
mono_exp_8,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2233986107692429,0.0,0.0,0.0,0.0
mono_exp_8,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22711673418054884,0.0,0.0,0.0,0.0
mono_exp_8,7.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2371005440671051,0.0,0.0,0.0,0.0
mono_exp_8,8.533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24456037085082394,0.0,0.0,0.0,0.0
mono_exp_8,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24947273302119216,0.0,0.0,0.0,0.0
mono_exp_8,10.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25401040963205196,0.0,0.0,0.0,0.0
mono_exp_8,11.733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25592306301530804,0.0,0.0,0.0,0.0
mono_exp_8,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25125640061155563,0.0,0.0,0.0,0.0
mono_exp_8,13.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2534197720979113,0.0,0.0,0.0,0.0
mono_exp_8,14.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25006026478269433,0.0,0.0,0.0,0.0
mono_exp_8,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24836241432877856,0.0,0.0,0.0,0.0
mono_exp_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
