Well,Experiment,Condition,Treatments,Rep,Time,Inulin,Starch,Pectin,ArGal,Gum,AmAc,pH,BAabs,BPabs,BTabs,BUabs,PCabs,PJabs,ACabs,CGabs,CHabs,FPabs,ERabs,BHabs,RIabs,CSabs,EHabs,OD
13,REU03,13,REU03_13,1,26.37,0,0.3333868831,0,0.3333065585,0.3333065585,1,1,0.090805935951507,0.019533014509929,0.096183160321654,0.025799386216872,0.000818580087844,0.009738280355384,0.003528362447603,0.006421619654637,0.017909967784032,0.000211701746856,0.000183474847275,0.000268155546018,0.000324609345179,0.013647705947328,1.41134497904114E-05,0.292966990749359
14,REU03,14,REU03_14,1,26.37,0.5,0,0,0,0.5,1,0,0.005397374326135,0.048680782426641,0.015324687818847,0.025549178171777,0.059282767710119,0.00224087416219,0.000152604333626,0.00257017825054,0.009421309649637,0.000144572526593,0.000104413491428,9.63816843952982E-05,0.000120477105494,0.000248986018021,8.03180703293853E-06,0.172466992418289
15,REU03,15,REU03_15,1,26.37,0,0,0,0,1,1,1,0.105614444441921,0.015408405514815,0.027595582103136,0.012454643250088,0.000186063764707,0.006151733220632,0.004081773838264,0.008326353470647,0.005500510044156,0.000127918838236,0.000174434779413,0.00166294489707,0.000104660867648,0.031165680588455,0,0.221067010442734
16,REU03,16,REU03_16,1,26.37,0,0,0.5,0,0.5,0,1,0.062848247813297,0.010998443367327,0.083741947219313,0.005315357128891,0.055527095541429,0.004262314678827,0.016046361143821,0.016815249281962,0.006117675186082,0.000618453502418,0.000668598380992,0.000200579514298,0.000434588947645,0.000835747976241,1.6714959524813E-05,0.26546698717308
17,REU03,17,REU03_17,1,26.37,0.3334975507,0.3334975507,0,0.3330048985,0,1,1,0.005128133081713,0.065676090344749,0.125354364219657,0.044053961970975,0.155343446568857,0.009656484516443,0.00335877722311,0.004048526117142,0.020302608750409,0.000149945411746,0.000119956329397,0.00038985807054,2.99890823492002E-05,0.008816790210665,0,0.447766988555908
18,REU03,18,REU03_18,1,26.37,0,0,0,0.5,0.5,1,0,0.02382883716597,0.00100761464165,0.027867623126304,0.012491090598971,0.000932668098056,0.006441239052203,0.000574590167553,0.003647398454899,0.007507145449981,4.99643623958779E-05,0.000145729390321,0.000149893087188,0.000212348540182,0.000308113568108,1.66547874652926E-05,0.087166993896484
19,REU03,19,REU03_19,1,26.37,1,0,0,0,0,0,0,0.000174958275343,0.085713649620449,0.016647544987209,0.009585592782444,0.000201467104941,0.001717772157916,9.01300206313524E-05,0.000180260041263,0.000153751211665,4.24141273559442E-05,7.95264887924244E-05,0.00010073355247,0.00021207063678,0.000302200657411,2.65088295974361E-05,0.116166993062019
20,REU03,20,REU03_20,1,26.37,0,1,0,0,0,0,0,0.000732134979123,0.116991841777542,0.00836963396588,0.005812708016065,0.000227405561697,0.001203585533861,7.21042024893485E-05,0.000282870332843,0.000249591470155,3.32788626874125E-05,9.42901109475783E-05,2.21859084582298E-05,0.000188580221895,0.000321695672645,6.10112482601658E-05,0.135566993634224
21,REU03,21,REU03_21,1,26.37,0,0,0.5,0.5,0,1,0,0.00119974981406,0.005565226028247,0.063153217103148,0.00987021065517,0.124814308387129,0.008236937799054,0.000806554496847,0.017078791470743,0.011533729304917,0.000181474761791,0.000211720555422,0.000100819312106,9.07373808952393E-05,0.00033270372995,1.0081931210592E-05,0.246966986934662
22,REU03,22,REU03_22,1,26.37,0,0,1,0,0,0,0,0.001858355335991,0.018404290787307,0.007006178879259,0.000645345261373,0.000319684921143,0.001174169850554,0.000119508381736,0.000197188829864,0.000409316207445,0.000121002236507,0.00018523799169,9.8594414932013E-05,0.000310721792513,0.000519861460551,5.67664813244787E-05,0.031966998259544
23,REU03,23,REU03_23,1,26.37,0,0.3344467491,0.3311065017,0.3344467491,0,0,0,0.002078976994285,0.400429047160214,0.007339692692869,0.005821135584,0.00144624486559,0.005875369766459,0.000325405094758,0.000542341824596,0.001699337717068,0.000216936729839,0.000361561216397,0.000108468364919,0.000433873459677,0.001048527527553,0.000144624486559,0.428666978160858
24,REU03,24,REU03_24,1,26.37,0,0.5,0,0.5,0,0,1,0.000908301759582,0.098057938896149,0.155880042399752,0.076625882483885,0.000657069357995,0.01238768995515,0.008058762420121,0.002183789336867,0.001062906314405,0.000773022774112,0.000347860248351,0.00013527898547,0.000541115941879,0.0017199756724,3.86511387057398E-05,0.362567006628036
25,REU03,25,REU03_25,1,26.37,0,0,0.3334882725,0.3332558638,0.3332558638,1,1,0.028804871824656,0.006969570385546,0.208724532760198,0.050277594457581,0.046289227589552,0.013415415828826,0.007614154929874,0.011119083389657,0.017121776958711,0.000201432670103,0.000120859602062,0.001974040167004,8.05730680410652E-05,0.046530946793675,0,0.442467003147125
26,REU03,26,REU03_26,1,26.37,0,0.5,0,0,0.5,0,1,0.006881296858781,0.059616519017408,0.008196603018268,0.007159329055095,0.00022991123926,0.001882064098128,0.000101588687115,9.08951411027599E-05,0.0001764435092,7.48548220846511E-05,0.000155056417175,4.27741840483475E-05,0.00028337896932,0.000235258012266,3.20806380363036E-05,0.086067005078316
27,REU03,27,REU03_27,1,26.37,0,0,0,0.5,0.5,0,1,0.065547765409055,0.002044581407168,0.068470759568931,0.054098109528915,0.00059065685096,0.008526661720263,0.013842573378899,0.004740399855137,0.004649529570374,0.000196885616986,0.000151450474605,0.000166595522066,0.000272610854289,0.000620946945881,4.54351423814155E-05,0.226267009059906
28,REU03,28,REU03_28,1,26.37,0.5,0.5,0,0,0,0,1,0.003542259680622,0.128403971346392,0.026408075492742,0.016569772858191,0.00029420761467,0.002294819394423,0.000164756264215,0.000141219655041,0.00069432997062,5.88415229338763E-05,0.000164756264215,7.06098275207238E-05,0.000282439310083,0.000270671005496,0,0.180667012016296
29,REU03,29,REU03_29,1,26.37,0.3333256556,0,0,0.3333486887,0.3333256556,0,0,0.000376692455217,0.015798831244133,0.004469448034054,0.00234916223127,0.000146226607089,0.001195243570985,2.22518749917461E-05,0.000147816026731,0.000109669955316,1.2715357138137E-05,2.70201339185254E-05,3.33778124876065E-05,0.000155763124942,0.000158941964227,7.94709821133248E-06,0.025267004053116
30,REU03,30,REU03_30,1,26.37,0,0.5,0.5,0,0,0,1,0.004249458268638,0.139043367658053,0.038982972477243,0.012406778482067,0.000560217971107,0.004399760651129,0.000560217971107,0.00046457100043,0.002527812796456,0.00028694091203,0.000437243294522,5.46554118153188E-05,0.000314268617938,0.001175091354028,4.09915588614891E-05,0.207266985456467
