Well,Experiment,Condition,Treatments,Rep,Inulin,Starch,Pectin,ArGal,Gum,AmAc,pH,Time,OD?,OD
6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,20.00361111,0.012166455,0.002166455
6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,22.00444444,0.012320834,0.002320834
6,REU04,BH-BP,REU04_BH-BP,1,0,1,0,0,0,1,1,24.00444444,0.013067,0.003067
7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,0,0.01,0
7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,2.000277778,0.016419882,0.006419882
7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,4.000277778,0.014155865,0.004155865
7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,6.000833333,0.015024255,0.005024255
7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,8.001111111,0.021831811,0.011831811
7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,10.00166667,0.014605567,0.004605567
7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,12.00222222,0.014124852,0.004124852
7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,14.00277778,0.013861233,0.003861233
7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,16.00277778,0.01265169,0.00265169
7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,18.00388889,0.018994037,0.008994037
7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,20.00361111,0.019877934,0.009877934
7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,22.00444444,0.020544733,0.010544733
7,REU04,BH-BT,REU04_BH-BT,1,0,1,0,0,0,1,1,24.00444444,0.023367,0.013367
8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,0,0.01,0
8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,2.000277778,0.007562524,-0.002437476
8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,4.000277778,0.009470114,-0.000529886
8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,6.000833333,0.0088107,-0.0011893
8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,8.001111111,0.002475619,-0.007524381
8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,10.00166667,0.009952899,-4.71009999999991E-05
8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,12.00222222,0.010376808,0.000376808
8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,14.00277778,0.010671189,0.000671189
8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,16.00277778,0.011483681,0.001483681
8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,18.00388889,0.005183925,-0.004816075
8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,20.00361111,0.005019072,-0.004980928
8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,22.00444444,0.003688469,-0.006311531
8,REU04,BH-ER,REU04_BH-ER,1,0,1,0,0,0,1,1,24.00444444,0.00277,-0.00723
9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,0,0.01,0
9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,2.000277778,0.0166936,0.0066936
9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,4.000277778,0.015679418,0.005679418
9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,6.000833333,0.015527291,0.005527291
9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,8.001111111,0.017403527,0.007403527
9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,10.00166667,0.013194673,0.003194673
9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,12.00222222,0.013549636,0.003549636
9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,14.00277778,0.012180491,0.002180491
9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,16.00277778,0.011064891,0.001064891
9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,18.00388889,0.0133468,0.0033468
9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,20.00361111,0.0172514,0.0072514
9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,22.00444444,0.014665236,0.004665236
9,REU04,BH,REU04_BH,2,0,1,0,0,0,1,1,24.00444444,0.018367,0.008367
10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,0,0.01,0
10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,2.000277778,0.011166088,0.001166088
10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,4.000277778,0.010834275,0.000834275
10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,6.000833333,0.011014402,0.001014402
10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,8.001111111,0.010872196,0.000872196
10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,10.00166667,0.01072999,0.00072999
10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,12.00222222,0.010654147,0.000654147
10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,14.00277778,0.010673108,0.000673108
10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,16.00277778,0.01049298,0.00049298
10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,18.00388889,0.010853235,0.000853235
10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,20.00361111,0.010872196,0.000872196
10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,22.00444444,0.010967,0.000967
10,REU04,BP,REU04_BP,2,0,1,0,0,0,1,1,24.00444444,0.010967,0.000967
11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,0,0.01,0
11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,2.000277778,0.014592449,0.004592449
11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,4.000277778,0.014068114,0.004068114
11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,6.000833333,0.014664771,0.004664771
11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,8.001111111,0.014104275,0.004104275
11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,10.00166667,0.013399136,0.003399136
11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,12.00222222,0.01320025,0.00320025
11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,14.00277778,0.013399136,0.003399136
11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,16.00277778,0.012730157,0.002730157
11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,18.00388889,0.013055606,0.003055606
11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,20.00361111,0.013706504,0.003706504
11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,22.00444444,0.013887309,0.003887309
11,REU04,BT,REU04_BT,2,0,1,0,0,0,1,1,24.00444444,0.014267,0.004267
