Well,Experiment,Condition,Treatments,Rep,pH,Time,OD,Inulin,Starch,Pectin,ArGal,Gum,AmAc,BHabs,BPabs,BTabs,ERabs,FPabs,BAabs,BUabs,PCabs,PJabs,ACabs,CGabs,CHabs,RIabs,CSabs,EHabs
52,REU04,BH-BT-FP,REU04_BH-BT-FP,1,1,0,0.006,0,1,0,0,0,1,0.002,0,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0
53,REU04,BH-ER-FP,REU04_BH-ER-FP,1,1,0,0.006,0,1,0,0,0,1,0.002,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0
54,REU04,BP-BT-ER,REU04_BP-BT-ER,1,1,0,0.006,0,1,0,0,0,1,0,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0
55,REU04,BP-BT-FP,REU04_BP-BT-FP,1,1,0,0.006,0,1,0,0,0,1,0,0.002,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0
56,REU04,BP-ER-FP,REU04_BP-ER-FP,1,1,0,0.006,0,1,0,0,0,1,0,0.002,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0
57,REU04,BH-BP-ER,REU04_BH-BP-ER,2,1,0,0.006,0,1,0,0,0,1,0.002,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0,0
58,REU04,BH-BP-FP,REU04_BH-BP-FP,2,1,0,0.006,0,1,0,0,0,1,0.002,0.002,0,0,0.002,0,0,0,0,0,0,0,0,0,0
59,REU04,BH-BT-ER,REU04_BH-BT-ER,2,1,0,0.006,0,1,0,0,0,1,0.002,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0
60,REU04,BH-BT-FP,REU04_BH-BT-FP,2,1,0,0.006,0,1,0,0,0,1,0.002,0,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0
61,REU04,BH-ER-FP,REU04_BH-ER-FP,2,1,0,0.006,0,1,0,0,0,1,0.002,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0
62,REU04,BP-BT-ER,REU04_BP-BT-ER,2,1,0,0.006,0,1,0,0,0,1,0,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0
63,REU04,BP-BT-FP,REU04_BP-BT-FP,2,1,0,0.006,0,1,0,0,0,1,0,0.002,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0
64,REU04,BP-ER-FP,REU04_BP-ER-FP,2,1,0,0.006,0,1,0,0,0,1,0,0.002,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0
65,REU04,BH-BP-ER,REU04_BH-BP-ER,3,1,0,0.006,0,1,0,0,0,1,0.002,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0,0
66,REU04,BH-BP-FP,REU04_BH-BP-FP,3,1,0,0.006,0,1,0,0,0,1,0.002,0.002,0,0,0.002,0,0,0,0,0,0,0,0,0,0
67,REU04,BH-BT-ER,REU04_BH-BT-ER,3,1,0,0.006,0,1,0,0,0,1,0.002,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0
68,REU04,BH-BT-FP,REU04_BH-BT-FP,3,1,0,0.006,0,1,0,0,0,1,0.002,0,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0
69,REU04,BH-ER-FP,REU04_BH-ER-FP,3,1,0,0.006,0,1,0,0,0,1,0.002,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0
70,REU04,BP-BT-ER,REU04_BP-BT-ER,3,1,0,0.006,0,1,0,0,0,1,0,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0
71,REU04,BP-BT-FP,REU04_BP-BT-FP,3,1,0,0.006,0,1,0,0,0,1,0,0.002,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0
72,REU04,BP-ER-FP,REU04_BP-ER-FP,3,1,0,0.006,0,1,0,0,0,1,0,0.002,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0
73,REU04,BT-ER-FP,REU04_BT-ER-FP,1,1,0,0.006,0,1,0,0,0,1,0,0,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0
74,REU04,BH-BP-BT-ER,REU04_BH-BP-BT-ER,1,1,0,0.008,0,1,0,0,0,1,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0
75,REU04,BH-BP-BT-FP,REU04_BH-BP-BT-FP,1,1,0,0.008,0,1,0,0,0,1,0.002,0.002,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0
76,REU04,BH-BP-ER-FP,REU04_BH-BP-ER-FP,1,1,0,0.008,0,1,0,0,0,1,0.002,0.002,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0
77,REU04,BH-BT-ER-FP,REU04_BH-BT-ER-FP,1,1,0,0.008,0,1,0,0,0,1,0.002,0,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0
78,REU04,BP-BT-ER-FP,REU04_BP-BT-ER-FP,1,1,0,0.008,0,1,0,0,0,1,0,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0
79,REU04,BH-BP-BT-ER-FP,REU04_BH-BP-BT-ER-FP,1,1,0,0.01,0,1,0,0,0,1,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0
81,REU04,BT-ER-FP,REU04_BT-ER-FP,2,1,0,0.006,0,1,0,0,0,1,0,0,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0
82,REU04,BH-BP-BT-ER,REU04_BH-BP-BT-ER,2,1,0,0.008,0,1,0,0,0,1,0.002,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0
83,REU04,BH-BP-BT-FP,REU04_BH-BP-BT-FP,2,1,0,0.008,0,1,0,0,0,1,0.002,0.002,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0
