Well,Experiment,Condition,Treatments,Rep,pH,Time,OD,Inulin,Starch,Pectin,ArGal,Gum,AmAc,BHabs,BTabs,BPabs,FPabs,ERabs,BAabs,BUabs,PCabs,PJabs,ACabs,CGabs,CHabs,RIabs,CSabs,EHabs
85,REU04,BH-BT-ER-FP,REU04_BH-BT-ER-FP,2,1,24.0044444,0.547867,0,1,0,0,0,1,0.000283017,0.511127912,8.84E-05,0.000159197,0.036013858,0,0,0,0,0,0,0,0,0,0
86,REU04,BP-BT-ER-FP,REU04_BP-BT-ER-FP,2,1,24.0044444,0.412167,0,1,0,0,0,1,0,0.075468471,0.335507556,0.000105529,0.000346739,0,0,0,0,0,0,0,0,0,0
87,REU04,BH-BP-BT-ER-FP,REU04_BH-BP-BT-ER-FP,2,1,24.0044444,0.338767,0,1,0,0,0,1,9.49E-05,0.04278481,0.29308328,3.45E-05,0.002329481,0,0,0,0,0,0,0,0,0,0
89,REU04,BT-ER-FP,REU04_BT-ER-FP,3,1,24.0044444,0.318167,0,1,0,0,0,1,0,0.309905477,6.56E-05,0.000163919,0.007769766,0,0,0,0,0,0,0,0,0,0
90,REU04,BH-BP-BT-ER,REU04_BH-BP-BT-ER,3,1,24.0044444,0.477967,0,1,0,0,0,1,8.35E-05,0.090593824,0.386433406,0,0.000125303,0,0,0,0,0,0,0,0,0,0
91,REU04,BH-BP-BT-FP,REU04_BH-BP-BT-FP,3,1,24.0044444,0.218267,0,1,0,0,0,1,0.00013222,0.151873637,0.065930593,5.67E-05,9.44E-06,0,0,0,0,0,0,0,0,0,0
92,REU04,BH-BP-ER-FP,REU04_BH-BP-ER-FP,3,1,24.0044444,0.133767,0,1,0,0,0,1,7.05E-05,2.71E-05,0.132925971,8.68E-05,0.000455783,0,0,0,0,0,0,0,0,0,0
93,REU04,BH-BT-ER-FP,REU04_BH-BT-ER-FP,3,1,24.0044444,0.478067,0,1,0,0,0,1,0.000551989,0.457312198,8.83E-05,4.42E-05,0.019893699,0,0,0,0,0,0,0,0,0,0
94,REU04,BP-BT-ER-FP,REU04_BP-BT-ER-FP,3,1,24.0044444,0.423067,0,1,0,0,0,1,0,0.057326946,0.364763445,7.81E-05,0.000253918,0,0,0,0,0,0,0,0,0,0
95,REU04,BH-BP-BT-ER-FP,REU04_BH-BP-BT-ER-FP,3,1,24.0044444,0.454567,0,1,0,0,0,1,0.000121012,0.05065871,0.40195697,9.08E-05,0.001361387,0,0,0,0,0,0,0,0,0,0
